,Botanical Name,Common Names,Plant Type,Sun Exposure,Soil Type,Soil pH,Bloom Time,Flower Color,Native Area,Toxicity,Family Name
1162,Symphyotrichum novae-angliae,New England aster,"Herbaceous, perennial",Full,Moist but well-draining,Acidic,Fall,"Pink, purple, white",North America,,Asteraceae
1163,Impatiens hawkeri,New Guinea impatiens,Annual,"Full, partial","Moist, but well-drained",Acidic (6.0 to 6.5),"Spring, summer, fall, winter",,New Guinea,,Balsaminaceae
1164,Vernonia noveboracensis,"New York Ironweed, ironweed",Herbaceous perennial,Full,"Rich, moist",Acidic (5.0 to 6.5); tolerates neutral soil,Late July to September,Purple,Eastern and Southeastern North America,,Asteraceae
1165,Phormium tenax (P. colensoi is a second parent to some hybrids),New Zealand flax,Herbaceous perennial,Full sun to partial shade,Well-drained soil,Acidic,,,Australia,,Asphodelaceae
1071,Leptospermum scoparium,"New Zealand tea tree, tea tree, broom tea tree, manuka",Evergreen shrub or small tree,Full,"Rich, medium moisture, well-draining",Acidic,June to July,"White, pink, red","New Zealand, Australia",,Myrtaceae
634,Nierembergia spp.,"Nierembergia, cupflower",Tender perennial usually grown as an annual,"Full, partial","Rich, moist but well-drained",Acidic to alkaline,Mid-summer to early fall,"Blue, purple, white",South America,Possibly toxic to grazing animals,Solanaceae
1168,Cestrum nocturnum,"Night-blooming jasmine, The lady of the night, poisonberry","Shrub, Evergreen","Full sun, Partial shade","Moist, Well-drained","Acidic, Neutral","Spring, Summer","Green, White, Yellow / Golden","South America, West Indies","Toxic to pets, toxic to people",Solanaceae
1171,Araucaria heterophylla,"Norfolk pine, Norfolk Island pine, Australian pine",Tree,"Full, partial",Sandy,Acidic,,,"Pacific, Norfolk Island",,Araucariaceae
685,Diervilla lonicera,"Northern bush honeysuckle, bush honeysuckle",Deciduous shrub,"Full, partial","Fertile, well-drained",Slightly acidic to neutral (6.0 to 7.0),Summer,Yellow-orange,North America,,Caprifoliaceae
499,Catalpa speciosa,"Northern catalpa, catalpa, hardy catalpa, cigar tree",Deciduous tree,"Full, partial","Moist, well-drained",Acidic to neutral (5.5-7.0),Late spring/Early summer,White,North America (U.S. Midwest),,Bignoniaceae
1173,Picea abies,Norway Spruce,Tree,"Full, Partial",Moist and well-drained,Acidic,Spring,Pink,Europe,,Pinaceae
1175,Myristica fragrans,Nutmeg Tree,Evergreen tree,Full Sun to Partial Shade,"Rich, medium textured, well-draining",5.5-7,Late Spring,Pale yellow,"Spice Islands, South Pacific",,
1179,Hydrangea quercifolia,Oakleaf hydrangea,Shrub,"Full, partial","Moist, well-drained",Acidic,"Spring, summer","White, pink",North America,"Toxic to humans, Toxic to pets.",Hydrangeaceae
1180,Acer rubrum 'October Glory',October Glory maple tree,Deciduous tree,Full sun to partial sun,Well-drained,Acidic,,,North America (species),,Sapindaceae
1183,Nerium oleander,"Oleander, Nerium, Jericho rose, rose laurel",Broadleaf evergreen,Full sun to part shade,"Fertile, adaptable",Alkaline,"Spring to summer, sometimes early fall and year-round in warmer climates","Pure white through pale-yellow, peach, salmon and pink to deep burgundy red",Southern Asia and the Mediterranean,,Apocynaceae
1184,Juniperus monosperma,One Seed Juniper,"Tree, Shrub",Full Sun to Part Shade,"Sandy, Gravelly, Loose Rock",Neutral,No Bloom,No flower but shows blue to purple berry like cones.,Southwest United States,,
1185,Allium cepa,Onion,"Biennial, vegetable",Full sun,"Loamy, well-drained",Neutral,Summer,,Asia,Toxic to pets,Amaryllidaceae
1186,Hemerocallis fulva,"Orange daylily, common daylily, tawny daylily",Perennial,Full,"Moist, well-drained","Acidic, neutral",Summer,Orange,Asia,Toxic to cats,Asphodelaceae
1116,"Murraya paniculata, Chalcas paniculata","Orange jasmine, orange jessamine, satinwood, mock orange",Shrub,"Full, partial","Loamy, well-drained","Acidic, neutral, alkaline","Spring, summer, fall",White,"Asia, Australia",,Rutaceae
1188,Lilium bulbiferum,"Orange lily, Fire lily",Herbaceous perennial bulb,Dappled sun,Well-drained rich loam,"Neutral (6.6 – 7.3), Slightly alkaline (7.4 – 7.8)",May to July,Orange,Europe,All parts of the plant are toxic to cats,Liliaceae
1189,Citrus sinensis,Orange tree,"Tree, Fruit",Full,"Loamy, Well-drained","Acidic, Neutral",Summer,White,Asia,Toxic to pets,Citrus
1191,Epiphyllum Spp.,"Orchid cacti, climbing cacti, leaf cactus","Evergreen, cactus",Partial sun,Well-drained,Acidic,"Spring, summer","Red, white, orange, yellow, pink, purple",Central and South America,,Cactaceae
1192,Origanum spp.,Oregano,"Perennial, herb",Full sun,Well-drained,"Acidic, neutral",Summer,,"Europe, Asia, Mediterranean",Toxic to pets,Lamiaceae
1194,Papaver orientale,Oriental poppy,"Herbaceous, perennial",Full,"Moist, well-drained",Neutral,"Spring, summer","Orange, red, pink, purple, white",Asia,"Toxic to people, toxic to dogs, toxic to cats",Papaveraceae
1195,Brassica oleracea,"Ornamental cabbage, ornamental kale",Annual or biennial,Full sun,"Rich loam, medium moisture, well-draining",Slightly acidic (5.5 to 6.5),Rarely flowers,Insignificant,Southern and Western Europe,,Brassicaceae
1196,Pennisetum glaucum (also known as Cenchrus americanus),"Ornamental millet, pearl millet, cattail millet","Annual ornamental grass, tender perennial in warmer climates",Full sun,"Evenly moist, well-draining",Neutral,July to September,"Dependent on cultivar, green to purple",Africa,,Poaceae
1199,Capsicum annuum cultivars,"Ornamental pepper, Christmas pepper plant","Perennial vegetable, usually grown as an annual",Full sun,Rich loam,Slightly acidic (6.0 to 6.8),Summer,,"Central America, South America",Leaves are toxic to people and pets,Solanaceae
1201,Matteuccia struthiopteris,Ostrich fern,Perennial,"Partial, shade","Clay, moist","Acidic, neutral",,,"Europe, Asia, North America",,Onocleaceae
491,Huernia zebrina,"Owl eyes succulent, little owl eyes, lifesaver cactus, lifesaver plant, carrion flower, zebra-striped Huernia",Succulent,Bright light - partial shade,Well-draining,6,Summer,"Yellow, red, purple, white",South Africa,,
1203,Leucanthemum vulgare (previously known as Chrysanthemum leucanthemum),"Oxeye daisy, moon daisy, mayweed, white daisy, whiteweed, field daisy, marguerite, poorland flower",Herbaceous perennial wildflower,Full sun to part shade,"Coarse and medium-textured, well-drained",Mildly acidic to neutral,May through August,White with gold yellow centers,Europe to Russian Far East and Caucasus,,
1205,Rhododendron macrophyllum,Pacific rhododendron,Perennial,Full sun to partial shade,Low nutrient; well-drained,Acidic,Spring and summer,Pink to purple,Western United States and Canada,Toxic to humans and animals,
1209,Clerodendrum paniculatum,Pagoda plant,Tropical perennial,Full to part sun,"Moist, well-draining",Acidic,Summer,Orange-red,Southeast Asia,,
9,Tanacetum coccineum,"Painted daisy, pyrethrum","Herbaceous, perennial","Full, partial","Loamy, sandy, well-drained","Acidic, neutral, alkaline","Spring, summer","White, pink, red, crimson, magenta",Asia,"Toxic to people, toxic to pets",Asteraceae
1211,Arecaceae family,Palm tree,Woody perennial trees and shrubs,Partial shade,Moist but well-drained,Neutral to acidic,Year-round (rarely flower indoors),"Varies by species; often yellow, orange, green, pink","South America, the Caribbean, Asia, and more",,Arecaceae
1212,Cortaderia selloana,Pampas grass,Perennial,"Full, partial","Loamy, moist but well-drained","Acidic, neutral","Summer, fall","Pink, yellow, white",South America,,
538,Pilea peperomioides,"Pancake plant, Chinese money plant, coin plant, UFO plant, friendship plant",Evergreen perennial,Bright indirect light,"Well-draining, rich",Slightly acidic to neutral,Spring,White,China,,Urticaceae
1215,Viola x wittrockiana,Pansy,"Perennial, annual, biennial","Full, partial",Well-drained,Slightly acidic (6.0-6.2),"Spring, summer","White, yellow, purple, blue","Europe, Asia",,Violaceae
1105,"Miltonia, Miltoniopsis",Pansy orchid,Perennial,Indirect sun to part shade,,,Species specific,"Red, yellow, green, white, brown","Brazil, Colombia to Costa Rica",,Orchidaceae
1216,Carica papaya,Papaya,Semi-woody herbaceous perennial,,,,,,,,
1218,Acer griseum,Paperbark maple,Deciduous tree,"Full sun, partial shade","Moist, well-drained",Neutral to acidic,Spring,Green (flowers are insignificant),China,,Sapindaceae
697,Cyperus papyrus,"Papyrus, Egyptian papyrus, King Tut's grass","Perennial reed, sedge",Full sun to part shade,Wet boggy soil,6.0 to 8.5 (acidic to alkaline),Mid- to late summer,Greenish-brown (flowers are insignificant),Africa,,
1222,Chamaedorea elegans,"Parlor palm, Neanthe bella palm",Palm,"Bright, indirect light","Outdoors, any well-drained soil; indoors, use a peaty soil-based potting mix",Acidic to neutral,Spring; rarely blooms indoors,Yellow,Rainforests of southern Mexico and Guatemala,,Arecaceae
1223,Tulipa Parrot,Parrot Tulip,Perennial,Full sun,"Chalky, loamy, and sandy soil",7-Jun,Spring,Wide variety of bright colors,"France, Netherlands",,
1224,Agave parryi,"Parry's Agave, Century Plant",Perennial succulent/cacti,Full sun,Sand or well-drained fertile loam,Slightly alkaline to slightly acidic,Summer,"Gold, light yellow, green",North and Central America,Mildy toxic to humans and pets,
1225,Pastinaca sativa,Parsnip,"Biennial, vegetable","Full sun, partial sun","Loamy, moist, well-drained","Acidic, neutral (6 to 7)",Summer (second year),,"Europe, Asia",Toxic to people,Apiaceae
1229,Pogostemon cablin,"Patchouli, pucha pot","Perennial, herb",Partial shade,Moist but well-drained,"Acid, neutral, alkaline",Fall,"White, with purple tones",Asia,,
1230,Cucurbita pepo var. clypeata,"Pattypan squash, scallop squash",Annual vegetable,Full sun,"Rich, well-drained loam",Slightly acidic (6.1 to 6.5),Summer,,Mexico,,Cucurbitaceae
1232,Asimina triloba,"Pawpaw, paw paw",Tree,"Full, partial",Moist but well-drained,"Acidic, neutral",Spring,Purple,North America,Toxic to humans,Annonaceae
1233,Spathiphyllum spp.,"Peace lily, spath lily",Perennial,Partial,Moist but well-drained,Acidic,Spring,"White, yellow","Central America, Asia","Toxic to pets, toxic to people",Araceae
1234,Prunus persica,Peach,Fruit tree,Full sun,"Sandy, well-draining",Acidic (6.0 to 6.5),Spring,Pink,China,"Stems, leaves, and pits are toxic to humans and pets",Rosaceae
1235,Campanula persicifolia,Peach-Leaved Bellflower,"Herbaceous, perennial","Full sun, partial shade","Well-drained, moist but well-drained","Acid, neutral, alkaline",Summer,"White, Lilac, Blue","Europe, Asia",,
1236,Calathea Makoyana,"Peacock Plant, Cathedral Windows","Evergreen, Herbaceous, Perennial","Partial Sun, Full Shade",Moist but well-drained,"Acid, Neutral, Slightly Alkaline","Anytime, but flowers are small",White,Brazil,,
1237,Clerodendrum trichotomum,"Peanut butter tree, harlequin glorybower, fate tree","Perennial, tree","Full, partial","Well-drained, loamy, sandy","Neutral, acidic",Summer,"White, pink",Asia,Toxic to people,Verbenaceae
1238,Echinopsis chamaecereus,Peanut cactus,Cactus,Full,"Sandy, well-drained",Acidic,"Spring, summer",Orange-red,South America,,
1239,Arachis hypogaea,"Peanuts, goobers",Annual,Full sun,"Sandy, loamy",Acidic,Spring,,South America,,Fabaceae
1241,Epipremnum aureum 'Pearls and Jade',Pearls and jade pothos,"Perennial, vine",,Moist but well-draining,Acidic,"Spring, summer","Green, white",South Pacific,Toxic to pets,Araceae
1246,Mentha pulegium,"Pennyroyal, stinking balm, mosquito plant, squaw mint",Herbaceous perennial,"Full, partial",Moist but well-drained,Acidic to slightly alkaline,Summer,Lavender,"Middle East, Europe, Africa","Toxic to humans, dogs, and cats",Lamiaceae
1247,Paeonia officinalis,Peony,"Herbaceous perennial, or woody shrub",Full sun,Well-draining,6.5-7.0,Late spring to late summer,"White, pink, rose, red, deep purple, and coral","Asia, Europe, and Western North America","Mildly toxic to humans, toxic to pets",
1249,Peperomia tetraphylla,"Peperomia Hope, Acorn Peperomia, Four-leaved Peperomia",Perennial,Partial,Moist but well-drained,Acidic,"Spring, summer","Green, brown","Central America, South America",,Piperaceae
1248,Peperomia spp.,"Peperomia, radiator plant","Herbaceous, perennial",Partial,"Loamy, moist, well-draining","Acidic, neutral",Summer,"White, green","Central America, South America",,Piperaceae
1250,Piper nigrum,Peppercorn plant,Tropical perennial vine,Full sun,Rich and loamy,6.0 to 7.0 (slightly acidic to neutral),Summer,White,"India, Sri Lanka",,
1251,Mentha × piperita,Peppermint,Herbaceous perennial,Full sun,Adaptable except extremely dry,Adaptable,July to August,Pink,Europe,,
1255,Strobilanthes dyerianus,"Persian shield, royal purple plant","Annual, perennial","Full, partial","Rich, moist","Acidic, neutral","Fall, winter",Purple,Asia,,Acanthaceae
1257,Alstroemeria spp.,Peruvian lily; lily of the Incas; princess lily,Perennial,"Full, partial",Well-drained,Acidic,Summer,"Pink, orange, red, yellow, white, purple",South America,Mildly toxic to people,Alstroemeriaceae
1258,Petunia spp.,Petunia,"Annual, perennial",Full,"Well-drained, moist",Acidic,"Spring, summer, fall","Pink, purple, yellow, red, orange, green, white",South America,,Solanaceae
1260,Philodendron spp.,Philodendron,Perennial,Partial,"Loamy, well-drained",Acidic,,,"Central America, South America","Toxic to pets, toxic to people",Araceae
1261,Philodendron hederaceum ‘Brasil’,"Philodendron Brasil, variegated heart leaf philodendron","Perennial, vine",Partial,"Loamy, moist but well-drained",Acidic,"Spring, summer","Green, white",South America,,Araceae
1265,Philodendron hederaceum 'Rio',Philodendron Rio,Houseplant,Partial sun,Well-drained,"Acidic, Neutral",Doesn't bloom indoors,N/a,Central America (original species),"Toxic to people, toxic to pets",Araceae
1263,Philodendron hederaceum var. hederaceum,"Philodendron micans, velvet-leaf philodendron",Perennial,Partial,"Loamy, moist but well-drained",Acidic,"Spring, summer","Green, white","North America, Central America","Toxic to cats, toxic to dogs",Araceae
1282,Philodendron erubescens 'pink princess',"Philodendron pink princess, blushing philodendron",Perennial,Partial,"Loamy, moist but well-draining",Acidic,"Spring, summer","Green, white",South America,,Araceae
177,Bergenia cordifolia,"Pig squeak, heartleaf bergenia, elephant's ears",Hardy perennial,"Partial, Shade","Moist, loamy, clay","Acidic, Neutral","April, May","Pink, red, white","Europe, Asia",,Saxifragaceae
1268,Bergenia cordifolia,"Pig squeak, heartleaf bergenia, elephant's ears",Hardy perennial,"Partial, Shade","Moist, loamy, clay","Acidic, Neutral","April, May","Pink, red, white","Europe, Asia",,Saxifragaceae
1269,Tolmiea menziesii,"Piggyback plant, youth-on-age plant, pickaback plant",Evergreen perennial,Partial shade,Moist but well-drained,Neutral to acidic,"Spring, summer","Purple, purple-green",North America,,
1270,Pilea spp.,Pilea,Flowering succulents; herbaceous perennials and annuals; houseplants,Partial sun,"Average, well-draining",5 to 6,Spring,"White, pink",Tropical and subtropical regions around the world (except for Australia and New Zealand),,
1271,Ananas comosus,Pineapple,Fruit,,,,,,,,
1272,Acca sellowiana,"Pineapple Guava, Feijoa","Perennial, Tree, Shrub, Fruit","Full, Partial","Loamy, Moist but Well-drained","Acidic, Neutral",Spring,"Red, Pink, White",South America,,Myrtaceae
1274,Salvia elegans,Pineapple Sage,"Tender Perennial, Subshrub, Herbaceous","Full Sun, Partial Shade","Well-drained, Moist",Neutral,"Summer, Fall",Red,"Mexico, Guatemala",,Lamiaceae
1273,Eucomis spp.,"Pineapple lily, pineapple flower","Perennial, annual, bulb","Full, partial","Loamy, well-drained","Acidic, neutral, alkaline",Summer,"Green, purple, pink, white",Africa,,Asparagaceae
1281,Ptilotus exaltatus,"Pink Mulla Mulla, Tall Mulla Mulla",Annual/Perennial,Full sun,Well-drained,5.5-6.5,Spring/Summer/Fall,Pink,Australia,,
1277,Cornus florida f. rubra,"Pink dogwood, pink flowering dogwood",Tree,Partial shade,Moist but well-drained,Acidic,Spring,Pink,North America,,Cornaceae
1097,Oenothera speciosa,"Pink evening primrose, showy evening primrose, pinkladies, Mexican primrose",Herbacious perennial,Full,"Loose, well-draining; tolerates rocky poor soil",Slightly acidic to neutral,"Summer, fall","White, pale pink",North America,,Onagraceae
1279,"Vaccinium 'Pink Lemonade', Blueberry 'Pink Lemonade', Pinkberry, Vaccinium 'Pink Sapphire', Vaccinium 'Pink Fizz'",Pink lemonade blueberry shrub,"Hybrid blueberry cultivar, semi-evergreen","Full Sun, Partial Sun","Sand, Loam",Acidic (pH 4.5-5.5),Late spring,Pinkish white,North America,,
1280,Muhlenbergia capillaris,"Pink muhly grass, hairawn muhly",Perennial,Full to part sun,Dry and well-drained,Slightly acidic,Fall,"Pink, pinkish-red",Eastern and southern North America,,Poaceae
1283,Tillandsia cyanea,"Pink quill, fan flower, blue flowered torch","Perennial, succulent",Partial shade,,,,"Blue, purple",South America,,
1276,Musa veutina,"Pink velvet banana, hair banana, pink banana",Tropical perennial,Full sun/ partial shade,"Prefers a fertile, moist, well-drained soil",Prefers a neutral to slightly acidic pH level,Summer,Cream to yellow with red bracts,Northeastern India and the Himalayas,,
1034,"Austrian pine, European black pine, black pine",Pinus nigra,Evergreen conifer,Full,"Moist, well-drained soil",Acidic to neutral (will tolerate a mildly alkaline soil),Spring,Yellowish-green (inconspicuous),Central and southern Europe,,Pinaceae
1284,Hydrangea macrophylla 'Horwack' Pistachio,Pistachio Hydrangea,Deciduous,Partial sun,Any,"Any, but pH can influence bloom color","Summer, fall",Green and pink combination,Asia,"Toxic people , toxic to pets",Hydrangeaceae
1285,Pistacia vera,Pistachio tree,"Tree, fruit",Full,"Well-draining, sandy, loamy","Neutral, alkaline",Spring,"Green, red",Central Asia,Toxic to horses,Anacardiaceae
1287,Pinus rigida,"Pitch pine, candlewood pine, torch pine",Coniferous tree,"Full, partial","Sandy, well-draining",Acidic to neutral (5.0–6.5),Spring,Green (insignificant),Eastern North America,,Pinaceae
1289,Musa paradisiaca,Plantain tree,Herbaceous perennial,Full sun,"Moist, well-drained",5.5-6.5,Summer,Purple bud,"Southeast Asia, Malaysia, New Guinea",,
1292,Podocarpus,"Podocarpus yew pine, Buddhist pine, fern pine, plum pine, yew pine, Japanese yew",Evergreen conifer,Full sun to partial shade,"Loamy, sandy, moist but well-drained","Acidic, neutral",No blooms,,"South America, Asia, Africa",Toxic to pets,Podocarpaceae
1293,Euphorbia pulcherrima,"Poinsettia, Mexican flameleaf, Christmas star",Shrub,"Full, partial","Loamy, well-drained","Neutral, acidic",Winter,Yellow,Mexico,Toxic to pets,Euphorbiaceae
1294,Toxicodendron diversilobum,"Poison oak, western poison oak, Pacific poison oak",Perennial,,,,Spring,White-greenish,,Toxic to humans if touched,
1296,Toxicodendron vernix,"Poison sumac, thunderwood, swamp sumac",Deciduous shrub or tree,"Full sun, partial shade","Sandy, loamy, moist",Acidic,"Spring, summer",Yellowish-green,North America,Toxic to people,
1300,Pinus serotina,"Pond pine, marsh pine, pocosin pine, bay pine, black bark pine",Coniferous tree,"Full, partial","Moist, sandy loam",Acidic,Spring,Yellow,North America,,Pinaceae
1301,Pinus ponderosa,Ponderosa pine,Coniferous tree,Full sun,Well-drained sandy to gravely loams,Acidic,Non-Flowering,Non-Flowering,Western North America,,Pinaceae
703,Beaucarnea recurvata,"Ponytail palm, elephant's foot",Broadleaf evergreen shrub/ tree,Full sun,"Sandy, well-draining soil",6.5 to 7.5 (neutral),Seasonal bloomer,Creamy white,Semi-desert areas of Central America,,
495,Senna didymobotrya,"Popcorn plant, popcorn cassia","Perennial, annual",Full,Well-drained,"Acidic, neutral",Summer,Yellow,Africa,"Toxic to humans, toxic to pets",Fabaceae
1303,Solanum tuberosum,"Potato, Irish potato",Annual tuberous vegetable,Full sun,Loamy,Acidic (5.0 to 6.0),,,Andes regions of South America,Leaves are toxic,
1304,Epipremnum aureum,"Pothos, Golden Pothos, Devil's Vine, Devil's Ivy",Vine,"Full sun, partial shade",Moist but well-drained,Neutral to slightly acidic,Rarely flowers,"Gold/Yellow, Purple/Lavender",South Pacific,All parts of this plant are toxic to dogs and cats,Araceae
1305,Mammillaria bocasana,"Powder puff cactus, powder puff pincushion, snowball cactus, fishhooks",Cactus,Full sun,"Sandy, well-drained",Acidic,Summer,"White, pink, red",Mexico,,
1307,Liatris pycnostachya,"Prairie Blazing Star, Cat-tail Blazing Star, Prairie Gayfeather",Herbaceous perennial,Full Sun,Tolerant of a variety of soil types - preference for it to be moist,Can tolerate a wide range,Late summer,Purple,Prairies of Central United States,,
842,Silphium laciniatum,"Prairie Compass Plant, Pilot Weed, Gum Weed, Turpentine Plant",Perennial herb,Full Sun,"A moist, deep, loamy soil","Can tolerate a wide range, but ideally 6.5 to 7.5",Late June through August,Yellow,Prairies of North America,,
798,Agastache scrophulariifolia,"Prairie Hyssop, Giant Hyssop",Perennial herb,Full Sun/Part Sun,"A moist, loamy or sandy soil",5.5 to 7.5,Late Summer to Late Fall,"Pale purple or, less commonly, pale pink",Found in rich woodland and meadows in North America and Eastern Asia,,
1308,Sporobolus heterolepis,Prairie dropseed,Perennial grass,"Full, partial","Tolerates any soil; prefers dry, rocky soil",Acidic to alkaline (6.0 to 8.0),"Summer, fall","Pink, brown, copper",North America,,Poaceae
1311,Maranta leuconeura,Prayer plant,"Herbaceous, perennial","Partial, shade",Moist but well-drained,"Neutral, acidic",Spring,White,South America,,Marantaceae
1312,Opuntia spp.,Prickly pear,"Herbaceous, perennial, cactus",Full,"Dry, sandy or gravelly, well-draining",Slightly acidic to neutral (6 to 7.5),June to July,"Pink, yellow",North and South America,,Cactaceae
1313,Opuntia humifusa,"Prickly pear, Eastern prickly pear, devil's tongue",Cactus,Full sun,"Sandy, well-drained",Neutral to acidic,Summer,"Yellow, some with red or orange centers",North America,,Cactaceae
1315,Echium candicans,Pride of Madeira,Shrub,Full sun,"Well-drained, sandy, loamy","Acidic, neutral, alkaline","Spring, summer","Purple, blue",Canary Islands,"Toxic to humans , toxic to animals",Boraginaceae
1299,Primula spp.,"Primrose, polyanthus","Perennial, annual","Partial, shade","Moist, well-drained",Acidic,Spring,"Red, pink, orange, yellow, blue, purple, white","North America, South America, Europe",Toxic to people and pets,Primulaceae
1319,Ligustrum spp.,Privet,Shrub,"Full, partial",Well-drained,"Acidic, neutral, alkaline",Summer,White,"Europe, Africa, Asia","Toxic to people, toxic to pets",Oleaceae
1320,Protea spp.,Protea plant,Blooming evergreen shrub or tree,Full sun,Sand or loam that is very well-drained,Acidic,Late winter and spring,"Pink, white, cream",South Africa,Toxic to people and pets,Proteaceae
449,Psychopsis,"Psychopsis orchid, butterfly orchid",Orchid,"Bright, indirect light","Sphagnum moss, bark mix",5.5 - 6.5,Varies,"Yellow, orange, pink, red.","Central America, Southern America",,
1321,Curbita spp.,Pumpkin,"Annual, fruit",Full sun,"Moist, loamy",Acidic,Summer,,North America,,Cucurbitaceae
1322,Fraxinus profunda/tomentosa,Pumpkin ash,Tree,Full sun,Wet,Neutral,Spring,Green,Southeastern United States,,Oleaceae
1323,Solanum Integrifolium,"Pumpkin on a stick, pumpkin tree, pumpkin bush, mock tomato",Annual,Full sun,"Well-drained, loamy",Acidic,"Summer, fall","White, purple",Africa,"Toxic to cats, dogs, and horses",Solanaceae
1325,Pennisetum setaceum 'Rubrum',"Purple fountain grass, red fountain grass",Perennial ornamental grass,"Full sun, partial shade",Moist but well-drained,Neutral to acidic,"Summer, fall",Burgundy red,"Africa, southern Asia",,Poaceae
1326,Tradescantia pallida 'Purpurea',"Purple heart, purple secretia",Perennial,Full sun,"Moist, well-drained",Acidic to alkaline (6 to 8),Spring,"Pink, purple",Mexico,"Toxic to people, toxic to pets",Commelinaceae
7,Prunus x cistena,"Purple leaf sand cherry, plum leaf sand cherry",Shrub,Full,"Moist, well-drained","Acidic, neutral",Spring,"Pink, white",North America,,Rosaceae
2,Cortaderia jubata,Purple pampas grass,"Perennial, herbaceous",,"Sandy, clay, moist, well-drained",,"Summer, fall","Pink, purple, white",South America,,
3,Gynura aurantiaca,"Purple passion vine, purple velvet plant","Evergreen, herbaceous","Partial sun, morning sun","Well-draining, loose",Neutral,Autumn,Yellow to orange,"Java, Indonesia",,Asteracaea
4,Passiflora incarnata,"Purple passionflower, Maypops, Wild passion flower, Apricot vine","Herbaceous vine, Perennial","Full sun, Partial shade",Well-drained,"Neutral, Acidic","Summer, Fall","Purple, Pink",North America,,Passifloraceae
656,Salvia dorrii,"Purple sage, tobacco sage, desert sage",Herbaceous perennial shrub,Full,Well-drained,"Acidic, neutral, alkaline","Spring, summer","Purple, blue",Western United States,,
94,Oxalis triangularis (synonymous with Oxalis regnellii),"Purple shamrock, false shamrock, love plant, shamrock, wood sorrel, oxalis, black oxalis",Perennial,"Full, partial","Loamy, sandy, well-drained",Acidic,"Spring, fall, winter","White, pink, lavender",South America,"Toxic to people, toxic to pets",Oxalidaceae
6,Hemigraphis alternata,"Purple waffle plant, red ivy","Tender perennial, annual","Full, partial",Moist,Slightly acidic to neutral (6.1—6.9),Summer,White (flowers are insignificant),Asia,,
8,Salix spp.,"Pussy willow, glaucous willow",Shrub,"Full, partial",Loamy,Neutral,Spring,White,"North America, Europe, Asia",,Salicaceae
13,Chenopodium quinoa,Quinoa,Herbaceous annual,Full sun,"Loamy, well-draining, fertile",6.0-7.5,Summer,"Insignificant, apetalous",South America,,
14,Raphanus sativus,"Radish, common radish, garden radish, rabone","Annual, vegetable",Fun sun,"Loamy, sandy, moist, well-drained","Acidic, neutral (6 to 7)",Summer,,Asia,,Brassicaceae
15,Zephyranthes candida,Rain Lily,Bulb,Full sun,Average to rich,Neutral or mildly acidic,"Summer, fall","White, pink, or orange",South America,,Amaryllidaceae
117,Lewisia cotyledon 'Rainbow',"Rainbow bitterroot, Rainbow Lewisia, Siskiyou Lewisia, cliff maids",Evergreen perennial,Partial sun to full sun,"Average fertility, excellent drainage",Acidic to neutral,"April, May, and June","Salmon, white, orange, pink, rose, or yellow","Several western states of the U.S., and British Columbia in Canada",,
16,Eucalyptus deglupta,"Rainbow eucalyptus, rainbow gum, Mindanao gum",Tree,Full sun,Moist but well-drained,"Acid, Neutral",Varies,White,Malesia and Papuasia,,Myrtaceae
17,Allium tricoccum,"Ramps, wild leeks",Bulb-forming perennial,Shade to partial shade,Loamy,Neutral (6.8 to 7.2),Spring,Pink,North America,,
18,Aporocactus flagelliformis,Rat tail cactus,Cactus,Full,Well-drained,Acidic,"Spring, summer","Red, pink, orange",Central America,,Cactaceae
21,"Goeppertia insignis, formerly Calathea lancifolia","Rattlesnake plant, prayer plant, rattlesnake calathea",Perennial,Partial,Moist but well-drained,"Acidic, neutral",Spring,Yellow,South America,,Marantaceae
29,Morus rubra,Red Mulberry,Tree,Partial to Full,"Moist, Well-drained",Neutral to Basic,March to April,Green,North America,,Moraceae
30,Quercus rubra,Red Oak,Deciduous tree,"Full sun, partial shade","Fertile, Sandy, Dry, Well Draining",Acidic,May,Yellowish-Green,Eastern North America,,Fagaceae
22,Aesculus pavia,Red buckeye tree,Ornamental tree,"Full sun, partial shade","Acidic, moist well-drained soil",5.5-7.5,Spring,Red,"Illinois, North America",,
561,Silene dioica,"Red campion, red catchfly",Perennial,"Full, partial","Loamy, sandy, well-drained","Neutral, alkaline","Spring, summer","Red, pink",Europe,,Caryophyllaceae
27,Kniphofia,"Red hot poker, torch lily, torch flower, African flame flower, Devil's poker","Herbaceous, perennial",Full,Well-drained,Neutral,"Spring, summer","Red, yellow, orange",South Africa,,Asphodelaceae
28,Acer rubrum,"Red maple, swamp maple, water maple, Drummond red maple, scarlet maple, Carolina red maple, trident red maple, soft maple",Tree,"Full, partial","Sandy, clay, well-drained",Acidic,Spring,Red,North America,Toxic to horses and ponies,Sapindaceae
32,Lycoris radiata,"Red spider lily, naked lily, hurricane lily","Herbaceous, perennial","Full, partial","Well-drained, sandy, loamy","Acidic, neutral alkaline","Summer, fall",Red,Asia,"Toxic to humans, toxic to pets",Amaryllidaceae
35,Photinia x fraseri,"Red tip photinia, Fraser photinia",Shrub,"Full, partial","Loamy, well-drained","Slightly acidic, neutral (6.0 to 7.5)",Spring,White,Asia,,Rosaceae
