,Common Name,Botanical Name,Family,Plant Type,Mature Size,Sun Exposure,Soil Type,Soil pH,Bloom Time,Flower Color,Hardiness Zones,Native Area,Toxicity
569,"Common bleeding heart, bleeding heart",Lamprocapnos spectabilis (formerly Dicentra spectabilis),,"Herbaceous, perennial",,569,,,,,,,"Toxic to people, toxic to pets"
570,"Common hazel, hazenut tree",Corylus avellana,Betulaceae,Deciduous shrub or small tree,"20 ft. tall, and 10 ft. wide",Full sun to part shade,"Moist, organically rich, well-drained",Adaptable,Early spring,Yellow and brown (Male),"4-8, USDA",Europe and Western Asia,
571,Common hollyhock,Alcea rosea,Malvaceae,"Biennial, Herbaceous","6-8 ft. tall, 1 to 2 ft. wide",Full sun,"Moist, Well-drained","Acid, Neutral, Alkaline",Summer,"White, Pink, Red, Yellow, Lavender","2-10, USA",Turkey,
572,"Common Honeysuckle, European Honeysuckle, Woodbine",Lonicera periclymenum,,Deciduous shrub with a vine-like growth habit,12 to 20 ft. tall,Dappled sunlight,"Moist, well-drained soils",Neutral; tolerates both acidic and alkaline,"Spring, summer, fall",Crimson purple outside and yellow and white inside,"5-9, USDA","Europe, Northern Africa, Southwest Asia",
573,"Rose of Sharon, shrub althea, rose mallow, Syrian mallow, Syrian hibiscus",Hibiscus syriacus,Malvaceae,Shrub,"8–12 ft. tall, 6–10 ft. wide","Full, partial","Moist, well-drained","Acidic, neutral","Summer, fall","Pink, purple, lavender, red, blue, white; often with dark throats","5–8, USDA",Asia,
574,"English ivy, common ivy, European ivy",Hedera helix,Araliaceae,"Perennial, evergreen climbing vine",N/A; climbs and spreads as much as possible,Part shade to full shade,Fertile and moist,Neutral to slightly alkaline,Fall,"Greenish-white, greenish-yellow",4-13 (USDA),"Europe, Scandinavia, Russia",Toxic to people and pets
575,Common juniper,Juniperus communis,Cupressaceae,Shrub,"6 in.–15 ft. tall, 1–12 ft. wide",Full,Well-draining,"Acidic, neutral, alkaline",,,2-7 (USDA),"North America, Europe, Asia",
576,Common mugwort,Artemisia vulgaris,,Herbaceous perennial,Up to 6 feet tall,Full sun / partial shade,Tolerates a variety of well-drained types,Tolerates a variety,Summer and early fall,Yellowish to reddish-brown,3 to 8,"Asia, Europe and North Africa",
577,Common Quince,Cydonia oblonga,,Tree,12-15 ft. tall 9-12ft. wide,Full Sun,"Fertile, Moist, Good Drainage",Acidic,April-May,Pale Whilte To Pink,USDA 5-8,West Asia,
578,"Rue, common rue, garden rue, herb of grace",Ruta graveolens,Rutaceae,"Perennial, herb",2–3 feet tall and wide,Full sun,Well-drained,"Acidic, neutral, alkaline (6.5 to 8.5)",Summer,,4–10 (USDA),Europe,"Toxic to people, toxic to pets"
579,"Common tansy, bitter buttons, cow bitter, golden buttons",Tanacetum vulgare,,"Perennial, herbaceaous","2-5 ft. tall, 12-18 in. wide",579,Well-drained,,Summer,Yellow,3-8 (USDA),"Europe, Asia","Toxic to humans, cows, and horses"
580,"Coneflower, echinacea",Echinacea 'Firebird',,"Herbaceous, perennial",36 inches in height with a 36-inch spread,"Full, partial","Well-drained, sandy, clay, loamy",6.5 to 7.0,June through October,Reddish-orange,4 to 8 (USDA),North America,
581,"Harry Lauder's walking stick, contorted filbert, corkscrew hazel, European filbert, European hazelnut, cobnut",Corylus avellana 'Contorta',Betulaceae,Shrub,"8–10 ft. tall, 8-10 ft. wide",Full sun to partial shade,"Loamy, moist, well-drained","Acidic, neutral",Spring,Yellow,4–8 (USDA),Europe,
582,Coral aloe,Aloe Striata,,Succulent,Up to 24 in. tall,"Full, partial","Well-draining, loamy, sandy","Acid, neutral, alkaline","Winter, spring",Orange,"9 - 11, USA",Africa,
583,Coral bark maple,Acer palmatum 'Sango-kaku',,Deciduous tree,"15-20 ft. tall, 15 ft. wide",Full sun to part Shade,Well-draining soil,Acidic,Early spring,,6b-8a (USDA),"Japan, China",
584,"Aluminum Plant, Watermelon Pilea",Pilea cadierei,,Herbaceous perennial,1 - 2 ft,"At least four hours of indirect, sun a day",Sandy soil mixture,Slight acidic to neutral,Rarely blooms,White,"9b-11, USA",North Africa,
585,"Coral bean, red cardinal, cardinal spear, mamou plant",Erythrina herbacea,Fabaceae,"Perennial, shrub","8–10 ft. tall, 3-6 ft. wide","Full, partial","Sandy, well-drained",Acidic to neutral,Spring,Red,8–11 (USDA),"North America, Central America","Toxic to humans , toxic to pets"
586,"Coral bells, alumroot, rock geranium",Heuchera spp.,Saxifragaceae,Perennial,"8–18 in. tall, 12–24 in. wide","Full, partial","Rich, moist but well-drained","Acidic, neutral","Spring, summer","Red, white, pink, orange",4a–9a (USDA),North America,
587,"Coral honeysuckle, trumpet honeysuckle",Lonicera sempervirens,,"Evergreen, perennial, vine","15-25 ft. tall, 15-25 ft. wide","Full, partial","Loamy, sandy, clay, well-drained","Acidic, neutral","Spring, summer","Red, pink, orange, yellow","4-11, USA",North America,Toxic to pets
588,"Cordyline, Hawaiian ti plant, good luck plant",Cordyline terminalis,Asparagaceae,Evergreen shrub,3-6 ft. tall and wide,"Full-sun, partial sun",Well-draining,6.0-6.5,Summer,"White, pink, lavender",9-11 (USDA),"Pacific Islands, Southeast Asia",Highly toxic to dogs and cats
589,"Corkscrew vine, corkscrew flower, snail vine",Cochliasanthus caracalla or Vigna caracalla,Fabaceae,Perennial vine (sometimes grown as an annual),"12-30 ft. tall, 3-6 ft. wide",Full,"Moist, well-drained","Acidic, neutral, alkaline","Summer, fall","White, purple",9-12 (USDA),"South America, Central America",
590,"Corkscrew willow, Pekin willow, Hankow willow, twisted-twig willow, contorted willow, curly willow","Salix matsudana 'Tortuosa', S. matsudana 'Koidzumi'",Salicaceae,Tree,"30-40 ft. tall, 15-20 ft. wide","Full, partial","Loamy, sandy, clay, moist","Acidic, alkaline",Spring,"Yellow, green",4-8 (USDA),Asia,
591,"Corn plant, dracaena, false palm",Dracaena fragrans,Asparagaceae,"Broadleaf, evergreen, shrub/tree","15–50 ft. tall, 3–10 ft. wide outdoors; container-grown plants can grow up to 6 ft. tall",Partial,"Moist, well-draining, loamy",6.1 to 6.5 (Acidic),Late fall and then again in late spring; nighttime bloomer,"White, yellow",10–12 (USDA),Africa (tropics),Toxic to dogs and cats
592,"Mâche, corn salad, lamb's lettuce, field lettuce",Valerianella locusta,,Herbaceous annual,1–2 ft. tall; similar spread,Full sun to part shade,"Well-draining, rich",Slightly acidic to neutral (6.5–7.0),,,5–8; grown as an annual in zones 2–10 (USDA),"Europe, North Africa, Western Asia",
593,"Cornelian cherry dogwood, cornelian cherry, European cornel",Cornus mas,,Deciduous shrub/ tree,15 to 25 feet tall; 15- to 20-foot spread,Full sun to part shade,"Medium moisture, well-drained soil",5.0 to 8.0 (acidic to slightly alkaline),March,Yellow,4 to 8 (USDA),"Southwestern Asia, Southern Europe",
594,Corsican mint,Mentha requienii,,Perennial,1/4 in. tall,Full sun to part shade,Well-drained,5.6 to 7.0 (acidic to neutral),June through August,Light purple,7 to 11 (USDA),"Sardinia, Corsica, Italy, France",Toxic to dogs in large amounts
595,"Sweet alyssum, alyssum, carpet flower",Lobularia maritima,Brassicaceae,Herbaceous perennial,"3–10 in. tall, 2–4 in. wide",Full or partial,Moist but well-drained,Neutral to acidic,"Spring, fall","White, pink, purple",5–9 (USDA),Europe,
596,"Cosmos, Mexican aster, cut-leaf cosmos","Cosmos sulphureus, Cosmos bipinnatus",Asteraceae,Annual,"1-6 ft. tall, 1-3 ft. wide",Full,Well-draining soil,6.0–6.8 (Acidic),Summer through fall,"Golden yellow, white, pink, magenta, orange, yellow, red, chocolate",2–11 (USDA),"northern South America, Central America, and southern North America",
597,"Golden marguerite, yellow chamomile",Anthemis tinctoria,Asteraceae,Perennial,"2-3 ft. tall, 1-1.5 ft. wide",Full sun,"Well-drained, loamy, sandy",Neutral to alkaline,Summer,Yellow,3-7 (USDA),Europe,Toxic to animals
598,Cotton rose,Hibiscus mutabilis,Malvaceae,Shrub,"6–15 ft. tall, 6–10 ft. wide","Full, partial","Loamy, well-drained","Neutral, alkaline","Summer, fall","White, pink, red",7–11 (USDA),Asia,
599,"Black-eyed pea, cowpea, southern pea, field pea",Vigna unguiculata,,Annual vegetable,2 to 6 feet (both bush and vine types are available),Full sun,Sandy,Acidic to neutral (5.8 to 7.0),Summer,"Yellow, pink, purple, white; not showy","Annual plants, grown in all zones",West Africa,
600,"Creeping bellflower, rampion bellflower",Campanula rapunculoides,,"Perennial, herbaceous","2–4 ft. tall, 1–3 ft. wide",600,"Moist, well-drained",,Summer,"Blue, purple",3–9 (USDA),"Europe, Asia",
601,"Creeping juniper, creeping cedar",Juniperus horizontalis,Cupressaceae,"Shrub, groundcover","1.5-3 ft. tall, 8-10 ft. wide",Full,Well-drained,"Acidic, neutral",Spring,White,3-9 (USDA),North America,
602,Creeping mazus,Mazus reptans or Mazus miquelii,Mazaceae,Herbaceous perennial,"2–3 in. tall, 6–12 in. wide","Full, partial","Moist, well drained",Acidic to alkaline (5.5–8.0),Summer,White to blue-violet,5–8 (USDA),Central Asia (Himalayas),
603,"Creeping phlox, moss phlox, star rock phlox",Phlox stolonifera,Polemoniaceae,"Herbaceous, perennial","6–12 in. tall, 9–18 in. wide","Full, partial","Loamy, well-drained","Acidic, neutral, alkaline","Spring, summer","Purple, pink, white","5–9, USA",North America,
604,"Creeping Speedwell, Slender Speedwell",Veronica filiformis,Plantaginaceae,"Perennial, groundcover","2-5 in. tall, 20-30 in. wide","Full, partial","Loamy, sandy, clay, moist but well-drained",Neutral,"Spring, summer","Pink, blue, purple","3-9, USA","Europe, Asia",
605,Creeping thyme,Thymus spp.,Lamiaceae,"Herbaceous, perennial","2-6 in. tall, 6-18 in. wide",Full,"Well-drained, sandy","Neutral, alkaline",Summer,"Pink, white, purple",2–9 (USDA),Europe,
606,"Amaranth, amaranthus, love lies bleeding, tassel flower",Amaranthus spp.,Amaranthaceae,Annual,"2–4 ft. tall, 1-2 ft. wide",Full sun to partial shade,Moist but well-drained,"Neutral, acidic","Summer, fall, winter",Red,2-11 (USDA),"India, Africa and Peru",
607,"Creeping wire vine, sprawling wirevine, matted lignum",Muehlenbeckia axillaris,Polygonaceae,Groundcover,"1-2 in. tall, 6-12 in. spread","Full, partial",Well-drained,"Acidic, neutral, alkaline",Spring,White,7-10 (USDA),Australia,
608,"Creeping zinnia, Mexican creeping zinnia",Sanvitalia procumbens,Asteraceae,Herbaceous annual,"4–6 in. tall, 12–18 in. wide",Full to part sun,Well-drained,Acidic to slightly alkaline (5.5–7.5),Summer,"Yellow, orange","2–11 (true annual, grown in all USDA zones)","Central America (Mexico, Guatemala)",
609,Crepe Myrtle,Lagerstroemia indica,Lythraceae,Deciduous tree / large shrub,"6-25 ft. tall, 6-20 ft. wide",Full sun,"Average, medium moisture, well-drained",6.0-6.5,July-September,Red-rose,USDA 6-9,"China, Indochina, Himalayas, Japan",
610,Crimson Queen Japanese Maple Tree,Acer palmatum var. dissectum 'Crimson Queen',Aceraceae,Tree,"8-10 ft. tall, 10-12 ft. wide","Full, partial","Sandy, loamy, moist but well-drained",Acidic,April,Red,5-9 (USDA),"Asia, Europe",
611,Crocodile fern,Microsorum musifolium,,Houseplant or perennial,2-5 ft. tall and wide,"Bright, indirect late to shade","Rich, moist, well-draining",Slightly acidic to neutral,,,10-11 (USDA),Southeast Asia and Australia,
612,Crocus,Crocus spp.,Iridaceae,"Corm, Perennial","6 in. tall, 1-3 in. wide","Full, Partial",Well-drained,Neutral,Spring,"Purple, blue, yellow, orange, pink, white",3-8 (USDA),"Europe, North Africa, Asia",Toxic to pets
613,"Crossandra, firecracker flower",Crossandra infundibuliformis,Acanthaceae,"Annual, perennial","1-3 ft tall, 1-2 ft wide",Partial,"Loamy, well-draining",Acidic,"Spring, summer, fall","Orange, pink, red",10-11 (USDA),Asia,
614,"Croton, garden croton",Codiaeum variegatum,Euphorbiaceae,Shrub,"3–8 ft. tall, 3–6 ft. wide","Full, partial","Moist, well-drained",Acidic,"Spring, summer, fall, winter",Yellow,11–12 (USDA),Asia,"Toxic to people, toxic to pets"
615,"Crown daisy, garland daisy, edible chrysanthemum, shingiku, tong hao",Glebionis coronaria,Asteraceae,Annual,"2 to 4 ft. tall, 1 to 2 ft. wide","Full sun, part shade","Sandy, clay, silt, loam, well-drained",Acidic to alkaline (6.1 to 7.8),Summer,Yellow and white,"5-9, USA",Mediterranean,
616,Crown imperial,Fritillaria imperialis,Liliaceae,"Perennial, bulb","1-3 ft. tall, 8-12 in. wide","Full, partial","Sandy, well-drained","Acidic, neutral, alkaline",Spring,"Red, orange, yellow",5-9 (USDA),Asia,"Toxic to humans, toxic to pets"
617,Amaryllis,Hippeastrum (group),Amaryllidoideae,"Perennial, bulb","1–2 ft. tall, 9–12 in. wide","Full, partial",Well-drained,"Acidic, neutral",Seasonal,"Red, pink, white",8–10 (USDA),"Central America, South America","Toxic to people, toxic to pets"
618,"Cryptanthus bromeliad, cryptanthus, earth star",Cryptanthus spp.,Bromeliaceae,Terrestrial bromeliad,3 in. to 3 ft. (varies by species),Bright indirect light; resents direct sunlight,Bromeliad potting mix,4.0–6.0 (acidic),Blooms once only,White or pink (but generally grown for foliage),10–11 (USDA),Brazil,
619,"Cucamelon, mouse melon, Mexican sour gherkin, sandita",Melothria scabra,Cucurbitaceae,"Annual, fruit","1 ft. tall, up to 10 ft. wide",Full sun,Humusy-rich and well-drained,Acidic (6.1 to 6.8),"Spring, summer",,2–11 (USDA),Central America,
620,"Cucumber, gherkin",Cucumis sativus,,Annual,"9 to 18 inches tall, 3 to 8 feet wide",Full sun to partial shade,"Rich, well-draining",Acidic to neutral (5.5 to 7.0),Seasonal,Yellow,4 to 11 (USDA),Asia,
621,"Cucumber tree, cucumber magnolia",Magnolia acuminata,Magnoliaceae,Tree,"50–80 ft. tall, 35–60 ft. wide","Full, partial","Loamy, moist, well-drained","Acidic, neutral",Spring,Yellow,4–8 (USDA),North America,
622,"Cup and saucer vine, cathedral bells",Cobaea scandens,,Perennial vine (typically grown as an annual),"10–20 ft. long, 3–6 ft. wide",Full sun,Moist but well-drained,Neutral to acidic,"Spring, summer","Green, maturing to purple",9–11 (USDA),Mexico,
623,"Nierembergia, cupflower",Nierembergia spp.,Solanaceae,Tender perennial usually grown as an annual,"6–30 in. tall, 6–18 in. wide (varies by species)","Full, partial","Rich, moist but well-drained",Acidic to alkaline,Mid-summer to early fall,"Blue, purple, white",7-10 (USDA),South America,Possibly toxic to grazing animals
624,Cup plant,Silphium perfoliatum,Asteraceae,Herbaceous perennial,4-8 ft.,Full sun,Clay or wet soil,Acidic to slightly basic,July to September,Yellow,3-9 (USDA),Eastern-central Canada to southeastern United States,
625,"Curry tree, curry leaf tree, curry plant, sweet neem, meethi neem, kadhi patta",Murraya koenigii,Rutaceae,Tree,"6-20 ft. tall, 4-12 ft. wide",Full,Well-drained,Acidic,"Spring, summer, fall",White,9-12 (USDA),Asia,
626,"Cyclamen, florist's cyclamen, Persian cyclamen, Persian violet",Cyclamen persicum,Primulaceae,Perennial,"6–9 in. tall, 6–9 in. wide",Partial,"Loamy, moist, well-drained",Acidic,"Fall, winter, spring","Pink, white, red, purple",9–11 (USDA),Mediterranean,"Toxic to people, toxic to pets"
627,"Cymbidium orchid, boat orchid",Cymbidium,,Evergreen flower,Around 2 feet tall,Partial sun,"Loamy, moist, well-draining",5.5 to 6.5,Mid-autumn to mid-spring,"Pink, green, yellow, white",10 to 12,Asia and Australia,
628,"Ambassador allium, Ambassador flowering onion",Allium 'Ambassador',,Bulb plant,46 inches tall,Full sun,"Friable, evenly moist, and well-drained",Slightly acidic to neutral,May to June,Light purple,5 to 8,Northern Hemisphere,Toxic to dogs and cats
629,"Cypress vine, red cypress vine, Indian pink, star glory, hummingbird vine",Ipomoea quamoclit,Convolvulaceae,Annual vine,"6-15 ft. in length, spread of 3-6 ft.",Full sun,"Fertile, well-drained, and kept evenly moist",Neutral to slightly acidic or slightly alkaline,June to October,"Red; less commonly, pink or white",11-12 (USDA),Tropical America,Toxic to people and pets
630,"Daffodil, narcissus",Narcissus spp.,Amaryllidaceae,"Bulb, perennial","6–30 in. tall, 6–12 in. wide","Full, partial","Rich, moist but well-drained","Neutral, acidic","Late Winter, Spring","Yellow, white, orange, pink",4–8 (USDA),"Europe, North Africa",Toxic to humans and animals
631,Dahlia,Dahlia spp.,Asteraceae,Perennial,"1-6 ft. tall, and 1-3 ft. wide",Full,"Loamy, well-drained","Neutral, acidic","Summer, fall","Red, pink, orange, yellow, purple, white",8-10 (USDA),"North America, Central America",Toxic to dogs and cats
632,"Dahoon holly, Cassine holly",Ilex cassine,Aquifoliales,Broadleaf evergreen tree,"20–30 ft. tall, 10–15 ft. wide","Full, partial",Moist but well-drained,Acidic to neutral (5.5–7.0),Spring to early summer,"White (female), greenish-white (male)",7a–11a (USDA),North America (southeastern U.S.),"Mildly toxic to humans, cats, dogs, and horses"
633,"Dalmatian bellflower, Adria bellflower, wall bellflower",Campanula portenschlagiana (formerly known as C. muralis),Campanulaceae,"Herbaceous, perennial","3-6 in. tall, 6-12 in. wide",Full sun to partial shade,Moist but well-drained soil,"Neutral, alkaline",Spring,"Violet, blue",4-8 (USDA),Mediterranean,
634,Damianita daisies,Chrysactinia mexicana,,Perennial,"1–2 ft. tall, 1–2 ft. wide",Full,Well-drained,"Acidic, neutral to acidic, alkaline","Spring, summer, fall",Yellow,"8, 9, 10 (USDA)","Mexico, Southwestern United States",
635,Daphne,"Daphne spp., Daphne x hybrids",,Broadleaf evergreen shrub,"1–5 feet tall, 2–6 feet across (depends on variety)",Full sun to part shade,"Moist, well-draining soil",5.5–6.4 (slightly acidic),Spring,White to light pink,4–9 (USDA),"Europe, Asia, Africa",Toxic to humans and pets
636,Darjeeling banana,Musa sikkimensi,,"Herbaceous perennial, often grown as a houseplant",12–15 feet tall,Full sun to part shade,"Rich,well-draining",Slightly acidic to neutral,Summer,Deep red or purple,5–9 (USDA),"Asia (Bhutan, India)",
637,Dark Opal Basil,Ocimum basilicum 'Dark Opal',,Annual herb,Up to 20 inches,Full sun,"Loamy, sandy, well-drained",Tolerates a wide range,Late summer,Purple foliage,9 to 11,Tropical Central Africa to Southeast Asia,
638,Date palm,Phoenix dactylifera,Arecaceae,Tree,"50–80 ft. tall, 20–40 ft. wide",Full sun,"Sandy, loamy, well-drained","Acidic, neutral, alkaline",Spring,,8–11 (USDA),"Africa, Middle East",
639,American beech tree,Fagus grandifolia,Fagaceae,Deciduous tree,"50-80 ft. tall, 40–80 ft. wide","Full, partial","Medium moisture, rich, well-drained",Acidic (5.0–6.5),April to May,Yellowish-green (not showy),3 to 9 (USDA),Eastern North America,Unripe nuts are mildly toxic
640,Dawn redwood,Metasequoia glyptostroboides,Cupressaceae,Tree,"75-100 ft. tall, 15-25 ft. wide",Full,"Loamy, well-drained",Acidic,,,4-8 (USDA),Asia,
641,"Daylily, day lily",Hemerocallis spp.,Liliaceae,Herbaceous perennial,"6 in. to 5 ft. tall, 2-4 ft. wide",Full sun (tolerates part shade/light woodland),Deep fertile medium loamy soil (tolerates light sandy or heavy clay),Acidic,Spring to late summer,"Red, orange, yellow, purple, pink","3-10, USA",Asia and Central Europe,Toxic to cats
642,Dendrobium orchid,Dendrobium spp.,Orchidaceae,Perennial,"6-48 in. tall, 6-48 in. wide",Partial,Moist but well-drained,Acidic,"Spring, summer, fall","White, yellow, orange, green, pink, purple, brown",9–12 (USDA),Asia,
643,"Deodar Cedar, Himalayan Cedar",Cedrus deodara,Pinaceae,Evergreen coniferous tree,"40-70 ft. tall, 20-40 ft. wide",Full,"Loamy, moist, sandy, clay, well-drained",Acidic,,,7-9 (USDA),Asia,
644,"Desert rose, Sabi star, mock azalea, impala lily",Adenium obesum,Apocynaceae,Succulent,"3–9 ft. tall, 3–5 ft. wide",Full,"Sandy, well-drained",Neutral to acidic,Summer,"Pink, red, rose",11-12 (USDA),"Tropical Africa, Arabian peninsula",Toxic to humans and pets
645,"Purple sage, tobacco sage, desert sage",Salvia dorrii,,Herbaceous perennial shrub,"1–3 ft. tall, 2–4 ft. wide",Full,Well-drained,"Acidic, neutral, alkaline","Spring, summer","Purple, blue",6–10 (USDA),Western United States,
646,Desert willow,Chilopsis linearis,Bignoniaceae,Deciduous Shrub,12-18 ft. tall -12-18 ft. wide,Full sun,Dry to medium moisture,6.6-8.5,May to June,Dark pink,USDA 6-9,Southwestern United States and Mexico,
647,"Baby's-breath euphorbia, graceful spurge, diamond frost euphorbia",Euphorbia hypericifolia,,Evergreen perennial (also grown as an annual),"1–2 ft. tall, 1–2 ft. wide","Full sun, partial shade","Loamy, well-drained",Neutral to acidic,"Late spring, summer",White,10–11 (USDA),North America,Toxic to dogs and cats
648,"Dianthus flowers, pinks, garden pinks, cheddar pinks, clove pinks, gillyflower","D. plumarius, D. superbus, D. deltoides",Caryophyllaceae,Perennial,"6–36 in. tall, 6–24 in. wide",Full sun,Moist but well-drained,Neutral to acidic,"Spring, summer, fall","White, lilac, red, pink","3-9, USA","Europe, Asia, Africa",Toxic to pets
649,"Dieffenbachia, dumb cane",Dieffenbachia spp.,Araceae,"Herbaceous, perennial","3–10 ft. tall, 2–3 ft. wide",Partial,Well-drained,Acidic,,,10–12 (USDA),"Caribbean, South America","Toxic to people, pets"
650,"Common elderberry, black elderberry, American elderberry",Sambucus canadensis,,Deciduous shrub,"5–12 ft. tall, 3–6 ft. wide","Full sun, partial shade",Moist but well-drained,Neutral but acidic,Summer,White,3–9 (USDA),North America,Toxic to people and pets; fruit is non-toxic to people once cooked
651,"Gas plant, burning bush, dittany",Dictamnus albus,,"Perennial, herbaceous",Up to 3 ft. tall,Full sun,"Loamy, sandy, chalky, clay","Neutral, alkaline",Summer,"Pink-purple, White, Red","3-8, USA","Europe, Asia",Toxic to pets
652,"Dog rose, briar rose, cankerberry",Rosa canina,Rosaceae,"Shrub, rose","3–15 ft. tall, 3–15 ft. wide",Full,"Moist, well-drained","Acidic, neutral, alkaline","Spring, summer","Pink, white",5–9 (USDA),"Europe, Africa, Asia",
653,"Dog Tail Cactus, Pitaya De Tortuga","Strophocactus testudo, Selenicereus testudo",Cactaceae,Perennial succulent,10 ft.,"Full sun, partial sun","Sandy, rocky, well-drained","Neutral, acidic, alkaline",Summer,White,7-11 (USDA),South America,
654,"White baneberry, doll's eyes",Actaea pachypoda,,Herbaceous perennial,1.5 to 2.5 feet tall and 2 to 3 feet wide,"Part shade, shade","Moist, well-drained, and humus-rich",Less than 6.8,Spring,White,3–8,"Eastern North America (eastern Canada, and the Midwestern and eastern United States)",Toxic to humans and all animals except birds
655,Doublefile viburnum,Viburnum plicatum f. tomentosum 'Mariesii',Adoxaceae,Deciduous shrub,"8-16 ft tall, 12-15 ft. wide","Full, partial","Loamy, Moist but Well-drained","Neutral, Acidic, Alkaline",Spring,White,5-8 (USDA),"Far East: China, Japan, Korea, and Taiwan",
656,"Dr. Ruppel clematis, Doctor Ruppel clematis, Dr. Ruppel virgin's bower",Clematis Dr. Ruppel,,Deciduous perennial flowering vine,12 feet tall,Full sun to partial sun,"Fertile, well-drained, and kept evenly moist",Neutral,June,Pink,4 to 8,Several regions across both the Northern Hemisphere and Southern Hemisphere,
657,Dracaena; various species have different common names,Dracaena spp. (also Cordyline spp.),Asparagaceae,Shrub,"2-10 ft. tall, 1-2 ft. wide",Partial,"Moist, well-drained",Acidic,,,10–12 (USDA),"Asia, Africa, Australia",Toxic to dogs and cats
658,"Dragon lily, Voodoo lily, Stink lily, Black lily, Snake lily",Dracunculus vulgaris,,Perennial,4 to 6 ft. tall,Full sun to partial shade,"Rich, moist, well-draining",Neutral,"Late spring, early summer",Purple-black or deep maroon,"7 to 10, USA","Algeria, Southeast Europe, Turkey",
659,"Dragon tree, dragon plant, Madagascar dragon tree",Dracaena marginata,Asparagaceae,Broadleaf evergreen,"15–20 ft. tall, 3–10 ft. wide","Full sun, partial shade","Loamy, well-drained",Neutral to acidic,Spring (rarely flowers indoors),White,10–12 (USDA),Madagascar,"Toxic to dogs, toxic to cats"
660,"Dragon tree, dragon's blood plant, drago, corn plant, ribbon plant",Dracaena draco,Asparagaceae,Broadleaf evergreen tree,"15–50 ft. outdoors, 3-4 ft. indoors (very slow-growing)",Full sun to part shade,"Any well-drained, porous soil",6.0–6.5 (slightly acidic),Begins producing a single flower after 10–15 years,White,9–12 (USDA),"The Canary Islands, northwest coastal Africa",Mildly toxic to pets (especially cats)
661,Aerangis orchids,Aerangis spp.,,Epiphytic orchids,6–24 inches (varies by species),"Part sun, bright filtered light",Orchid potting mix,5.5 to 6.0 (acidic),Spring to fall (varies by species),"White, yellow",10–11 (USDA),"Tropical Africa, Madagascar",
662,"American ginseng, Asain ginseng",Panax quinquefolius,,Deciduous perennial,"8–24 in. tall, 8–12 in. wide","Partial shade, shade",Moist but well-drained,Acidic,Summer,Greenish white,3–7 (USDA),"North America, Asia",
663,"Dragon fruit, pitahaya, strawberry pear, Honolulu queen, moonlight cactus",Hylocereus undatus,Cactaceae,"Cactus, perennial","8–20 ft. tall, 3–10 ft. wide","Full, partial","Sandy, well-drained","Neutral, acidic","Spring, summer, fall, winter",White,10–12 (USDA),"North America, Central America, South America",
664,"Common Duckweed, Lesser Duckweed","Lemna minor (Previously known as Lemna cyclostasa, Lemna minima)",,Aquatic plant,"Starts 1/16 to 1/8 of an inch long, rapidly spreads, potentially invasive",Full sun,,,Summer (if it blooms),Green,"4-10, USDA","Central America, North America except Hawaii and South Carolina",
665,Liveforever,Dudleya,Crassulaceae,"Succulent, perennial","24 in. tall, 18 in. wide","Full, Partial","Sandy, well-drained","Acidic, Neutral, Alkaline",Spring,"Red, Pink, Yellow","5-11, USA","North America, Central America",
666,"Duranta plant, duranta, golden dewdrops, sky flower, pigeon berry",Duranta erecta,,Tropical broadleaf evergreen shrub,"2-4 ft. tall, 1-2 feed wide (when grown as an annual); up to 18 feet tall as a perennial in warm-winter zones.",Full,Rich loam; tolerates rocky soil,Acidic to slightly alkaline (5.6—7.5),Spring through frost,"Blue, violet, white",10—11 (USDA),Central and South America,Leaves and berries are toxic to humans and pets
667,"Dusty miller, silver dust, silver ragwort",Jacobaea maritima,Asteraceae,"Perennial, annual","1-2 ft. tall, 1-2 ft. wide",Full,"Average, well-drained",Acidic,Summer,Yellow,8–11 (USDA),Mediterranean,"Toxic to humans, toxic to pets"
668,"Dutch iris, Dutch hybrid group, fleur de lis",Iris × hollandica,,Bulb,"1.5 to 2 feet tall, with a spread of 1/4 to 1/2 foot wide",Full sun,"Well-drained, moist","Mildly acidic, neutral, mildly alkaline",Spring,"Most commonly blue, bluish-purple, white, yellow",5 to 9 (USDA),Europe,
669,"Dutchman's breeches, Dutchman's britches, staggerweed",Dicentra cucullaria,Fumariaceae,"Herbaceous, perennial","6–12 in. tall, 6–12 in. wide","Partial, full",Moist but well-drained,"Neutral, acidic",Spring,"White, pink",3–7 (USDA),North America,"Toxic to humans, dogs, and cats"
670,"Dutchman's pipe vine, pipe vine",Aristolochia macrophylla,"Aristolochiaceae, Birthwort",Vine,"15–30 ft. tall, 15–20 ft. wide","Full, partial","Moist, well-drained","Neutral, acidic",Summer,"Yellow, green, purple",4–8 (USDA),North America,Toxic to people
671,"Dwarf Alberta spruce, dwarf white spruce",Picea glauca 'Conica',Pinaceae,Tree,"10 to 13 ft. tall, 7 to 10 ft. wide",Full,"Moist, well-drained soil","Acidic, neutral, alkaline",,,3 to 6 (USDA),North America,
672,Dwarf Birch,Betula nana,,Deciduous shrub,Six to 48 inches tall and 18 to 36 inches wide,Full sun to part sun,"Well-drained clay, loam, or sand","Acid, alkaline, neutral",Spring,Yellowish brown,"2, 3, 4, 5, 6, 7","Alaska, northern Canada to Baffin Island, Labrador, and Greenland",
