commonName,botanicalName,family,plantType,size,sunExposure,soilType,soilPH,hardinessZones,nativeArea,image,site,matureSize,bloomTime,flowerColor,toxicity
"Peace lily, spath lily",Spathiphyllum spp.,Araceae,Perennial,,Partial,Moist but well-drained,Acidic,11–12 (USDA),"Central America, Asia",https://www.thespruce.com/thmb/aNrtYJejYzEa26aJaKIQY6rA_sQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/peachleaved-bellflower-plant-care-5079111-hero-e9c4aa50e66e4d90a60ce7cc4948b413.jpg,Peace Lily Spathiphyllum.json,"1–4 ft. tall, 1–4 ft. wide (indoors), up to 6 feet tall (outdoors)",Spring,"White, yellow","Toxic to pets, toxic to people"
"Lilac bush, common lilac",Syringa vulgaris,Oleaceae,Shrub,,Full,"Loamy, well-drained",Neutral,"3–7, USA",Europe,https://www.thespruce.com/thmb/S-aC89o8pYtD8Iu9_5La6blVt3g=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/thespruce.com-limelight-hydrangea-plant-profile-4843269-3-93cdfa9ef7314907b3f0997aa4d9a3aa.jpg,Lilac Bush Syringa vulgaris.json,"8–15 ft. tall, 6–12 ft. wide",Spring,"Purple, white",
"Tea Olive, Sweet Olive",Osmanthus fragrans,Oleaceae,Shrub,,"Full, partial",Moist but well-drained,Neutral to acidic,8b - 11a,Asia,https://www.thespruce.com/thmb/C2pDhKWemjdElfRqD4zPCCHzpX8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/texas-sage-growing-guide-5199779-hero-e8d87aac4edf4837b136969a47f77c04.jpg,Tea Olive Osmanthus fragrans.json,"6–30 ft. tall, 6–30 ft. wide",Spring,White,
"Lipstick plant, lipstick vine, basket vine",Aeschynanthus radicans,Gesneriaceae,Evergreen perennial,,Bright filtered light,Very well-drained,Neutral to alkaline,"10–11 (USDA), usually grown as a houseplant",Asia,https://www.thespruce.com/thmb/0gYqIgZ10T6_aHPrYLXt4kL-SP0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/lisbon-lemon-tree-plant-care-and-growing-guide-5078629-hero-f4e6e31fe7d04769b6562e50391fc870.jpg,Lipstick Plant Aeschynanthus radicans.json,3 ft. long,"Spring, summer, fall",Red,
Utah Juniper,Juniperus osteosperma,,"Tree, Shrub",,Full Sun to Part Shade,"Sandy, Gravelly, Loose Rock",Neutral,9-May,Southwest United States,https://www.thespruce.com/thmb/8R7zMpCPmYBi4iEBvWVQocdoqx8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/vanilla-orchid-care-1315974-hero-0eed4eae05da4a09a656a750a1dfa857.jpg,Utah Juniper Juniperus osteosperma.json,30 feet tall,No Bloom,No flower but shows blue to purple berry like cones.,
"Japanese holly, box-leaved holly",Ilex crenata,Aquifoliaceae,Shrub,,"Full, partial",Well-drained,Acidic,5b–8b (USDA),Asia,https://www.thespruce.com/thmb/dOYmtGtS7s7LX28qhUbcu3Ctrms=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/japanese-lilac-tree-care-and-growing-guide-4589076_03-36e1ded3d77f45bca78ab07f0f287bde.jpg,Japanese Holly Ilex crenata.json,"3–10 ft. tall, 3–8 ft. wide",Spring,White,"Toxic to humans, dogs, and cats"
Camouflage plant,Aglaonema pictum tricolor,Araceae,"Perennial, shrub",,Partial,Moist but well-draining,Acidic,"10-12, USA",Asia,https://www.thespruce.com/thmb/evYlkcdeR7aRDPvIOL2kXKoNMig=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/GettyImages-1290844633-024f5012ad4440b3acdf99ad18a66195.jpg,Aglaonema Pictum Tricolor Aglaonema Pictum Tricolor.json,2 ft. tall (indoors),"Spring, summer","Green, white",Toxic to pets
Malus 'Sutyzam','Sugar Tyme' crabapple,Rosaceae,Deciduous tree,,Full,"Well-drained, loamy",Slightly acidic to neutral (5.5 to 6.5),4–8 (USDA),"North America, Europe, Asia",https://www.thespruce.com/thmb/HMkf9c9eGEvthQDwszRlp_VWiZw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/sunburst-honey-locust-trees-2132048-hero-eb1a9f50fb7f402ab4de11774ba6fa9e.jpg,Sugar Tyme Crabapple Malus 'sutyzam'.json,"14–18 ft. tall, 12–15 ft. wide",Spring,"Pink buds, white flowers",Seeds are potentially toxic if crushed and ingested
Swan River daisy,Brachyscome iberidifolia,Asteraceae,"Perennial, annual",,Full,Well-drained,Neutral,9-11 (USDA),Western and southern Australia,https://www.thespruce.com/thmb/6TlUA6KX_M6MVzi-X8SblmmcH_U=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/how-to-grow-basil-plants-1402624-06-2a552a61e7c0498a9e0513597fbc4b1c.jpg,Swan River Daisy Brachyscome iberidifolia.json,12-18 in. tall and wide,"Summer, fall","Blue, purple, violet pink, white",
"Yellow alyssum, basket-of-gold, gold basket, gold dust, golden tuft, rock madwort",Aurinia saxatilis,,Herbaceous perennial,,Full sun,"Dry, sandy to average, well-draining",5.6 to 7.5,3 to 7,"Asia, Europe",https://www.thespruce.com/thmb/1tQFyZGqPb0iiBwGgNlD3Bu7ZT4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/how-to-grow-yellow-iris-5094137-hero-9f174a4ac35244ab9144d4516b9692e1.jpg,Yellow Alyssum Aurinia saxatilis.json,6 to 12 inches tall and 12 to 18 inches wide,Spring,Yellow,
"Spider lily, hurricane lily, cluster amaryllis, naked lily, surprise lily",Lycoris spp.,Amaryllidaceae,"Perennial, bulb",,"Full, partial",Well-drained,"Acidic, neutral, alkaline",6–10 (USDA),Asia,https://www.thespruce.com/thmb/6AusY4Obyo8m00uv2g1Da4mbSjo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/veronica-plant-profile-2132565_01-697836ea47364bcab239c2ce35bf8d8a.jpg,Spider Lily Lycoris.json,"1–2 ft. tall, 1–1.5 ft. wide","Summer, fall","Red, orange, pink, white, yellow","Toxic to people, toxic to pets"
Calathea 'White Fusion',Calathea lietzei,Marantaceae,Herbaceous Perennial,,Partial,"Moist, Well-drained",Acidic,"11b-12b, USDA",Central Mexico to tropical South America,https://www.thespruce.com/thmb/bm667Wsf3YdBdRY1BNXEGLTtrzE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-calathea-white-fusion-plants-5088748-2-d048acbddc96452584881f4061447dfa.jpg,Calathea 'White Fusion' Calathea lietzei.json,Up to 2 ft. tall,Summer,"Yellow, purple, white",
"Bay laurel, laurel, laurel tree, bay tree, bay leaf, sweet bay",Laurus nobilis,Lauraceae,"Tree, shrub",,"Full, partial","Moist, well-drained","Acidic, neutral, alkaline",8–10 (USDA),Mediterranean,https://www.thespruce.com/thmb/FkWhbWLXzRltarElYhaozMtn0wE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-leeks-in-the-vegetable-garden-1403462-03-58d64e4e1318401494f57021e1d6b7d0.jpg,Laurel Laurus nobilis.json,"10–60 ft. tall, 5–20 ft. wide","Spring, summer",Yellow,Toxic to pets
"Fumewort, hollow wort, turkey corn",Corydalis canadensis,,Perennial,,Shade to partial sun,"Rich, well-drained, slightly alkaline",5.0 - 7.0,5 to 7,"China, Northern Africa, Northern Hemisphere",https://www.thespruce.com/thmb/bLw_KPItijuu6GBpFNEY-OB6gvQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/galaxy-petunia-plant-profile-5074231-2-b6b09e322a1540f6bf766ca54fbf6a3a.jpg,Fumewort Corydalis canadensis.json,12 to 18 inches,Spring,"Blue, pink, purple, white, yellow",
"Catalpa, catawba, cigar tree, western catalpa",Catalpa spp.,Bignoniaceae,Deciduous tree,,Full sun to part shade,"Clay, loam, sandy, moist, dry",Tolerates acidic to alkaline,"USDA 4-8, depending on species","North America, Caribbean, East Asia",https://www.thespruce.com/thmb/Thrm8YV3iYD_wlYgU3cxm082fTc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/catalpa-growing-guide-5199828-hero-d69bf025233f4444b9c41afc5b9603ba.JPG,Catalpa Catalpa.json,"40 - 60 ft. tall, 20 - 40 ft. spread",Late May to June,White,
Eastern Cottonwood,Populus deltoides,Salicaceae,Deciduous tree,,Full sun,"Average, Medium to Wet, Well-drained",Adaptable,USDA zones 2-9,Eastern and central North America,https://www.thespruce.com/thmb/jJYgpax0U3dXkoacIBPubAQVymo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/GettyImages-172745895-f3b0ce57a8274c9f934d10ec85a3844e.jpg,Eastern Cottonwood Populus deltoides.json,"50 to 80 ft. tall, 50 to 80 ft. wide",March to April,"Green (Female), Red (Male)",
Catmint,Nepeta spp.,Lamiaceae,Perennial,,"Full, partial",Well-drained,"Acidic, neutral, alkaline",4-8 (USDA),"Europe, Asia, Africa",https://www.thespruce.com/thmb/IBA_w7XYVR1cTX8CHD4vi0NWRWQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/perfect-catmint-nepata-walkers-low-1402824-hero-838630a6510a4573bfd74971ade8d212.jpg,Catmint Nepeta.json,"10-24 in. tall, 1-2 ft. wide","Spring, summer","Purple, white, pink",
"Dwarf Iris, Netted Iris, Reticulated Iris",Iris reticulata,Iridaceae,"Perennial, bulb",,"Full, Partial","Loamy, Sandy, Well-drained","Neutral, Alkaline","5-9, USA","Europe, Asia, Middle East",https://www.thespruce.com/thmb/TqcQs9A0r5hO4CRppDDarPBAgvw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/ribbon-grass-plant-profile-5074213_01-1310f516de0b4c3fbbd5a3a7b3b9a343.jpg,Reticulated Iris Iris reticulata.json,"4-6 in. tall, 4 in. wide",Spring,"Purple, Blue","Toxic to people, toxic to pets"
"Brass buttons, buttonweed, golden buttons","Leptinella squalida, formerly known as Cotula squalida",Compositae,"Perennial, groundcover",,Partial,Loamy,Acidic,4-9 (USDA),New Zealand,https://www.thespruce.com/thmb/y59nfH2uwlEt4mW5T9VtNEYk03g=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/brass-buttons-plant-care-and-growing-guide-4684970-hero-0e505769d5ed405ebb3ffec8e8669f45.jpg,Brass Buttons Leptinella squalida.json,1-2 in. tall; 8-18 in. wide,Spring,Yellow,
SunPatiens®,Impatiens x hybrida SunPatiens®,Balsaminaceae,Annual,,"Full sun, partial shade","Loamy, sandy, silt, moist but well-drained",Neutral to acidic (5.8 to 6.2),"10-12, USDA",nan,https://www.thespruce.com/thmb/MYPvikT3sny1wMPrqQM9hn1B7Kk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/swan-river-daisy-profile-5073068_02-157c2be0e6274e52877ccb6860bf772c.jpg,SunPatiens Impatiens x hybrida.json,"16-34 in. tall, 14-21 in. wide","Spring, summer, fall","Red, pink, orange, purple, white",
"Ground cherry, husk tomato, strawberry tomato",Physalis pruinosa,Solanaceae,"Annual, fruit, shrub",,Full sun,"Loamy, sandy, well-drained",Acidic (6.0 to 6.5),4–8 (USDA),Central America,https://www.thespruce.com/thmb/0GImA8X4oKSrLGI8UVAbJ1Ip1rA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/compass-plant-profile-5069835_02-36f48281455544c19a3220765439724a.jpg,Ground Cherry Physalis pruinosa.json,1–3 ft. tall and wide,Summer,,"Toxic to people, toxic to pets (except the fruit)"
"Anemone, windflower, Grecian windflower, poppy windflower",Anemone spp.,Ranunculaceae,Herbaceous perennial,,Full to partial sun,"Rich, moist","Acidic, neutral",3–10 (USDA); varies by species,Temperate zones worldwide; many species are native to North America,https://www.thespruce.com/thmb/xUE368UXNCAR6dKZL2B-ehjLAEI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-anemone-flowers-1316064_04-9e1f67a850b4427da61db3bace7592d9.jpg,Anemone Anemone.json,"6 in. - 4 ft. tall, 2–3 ft. wide (varies by species)","Spring, summer, fall (varies by species)","Red, orange, yellow-green, blue, purple, red-purple, white, ivory, pink","Toxic to humans, toxic to pets"
Munstead lavender,Lavandua angustifolia ‘Munstead’,Lamiaceae,"Herbaceous, perennial",,Full,"Sandy, well-drained",Neutral,5-9 (USDA),Mediterranean,https://www.thespruce.com/thmb/V_KbJLwWB2WZKfZKj1eBSVIU3RY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/how-to-grow-njoypothos-hero-7cba8d67950e467683df48c1b18ad9ca.jpg,Munstead Lavender Lavandua angustifolia 'munstead'.json,"1 to 1.5 ft. tall, 1 to 1.5 ft. wide",Summer,"Blue, lavender, purple",Toxic to pets
Bobo hydrangea,Hydrangea paniculata 'Ilvobo',Hydrangeaceae,Deciduous shrub,,"Full, partial","Loamy, well-drained",Acidic,3–8 (USDA),"Cultivar, no native range",https://www.thespruce.com/thmb/f_-Q_1vEpRQWK6ijKbhDPhlxCGQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/bobo-hydrangeas-dwarf-type-offers-compact-alternative-4125546-hero-f7c4a35e62004fdf82f752700ffc60fd.jpg,Bobo Hydrangea Hydrangea paniculata 'Ilvobo' BOBO.json,"2–3 ft. tall, 3–4 ft. wide",Summer,White,Toxic to dogs and cats
Endless Summer hydrangea,Hydrangea macrophylla Endless Summer,Hydrangeaceae,Shrub,,Partial sun,"Loamy, moist, well-drained","Acidic, neutral, alkaline",4-9 (USDA),"Cultivar, no native range",https://www.thespruce.com/thmb/7VQj1M4MysB69bhxkakrmZgNXR0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-endless-summer-hydrangea-5094116-hero-f65fa834b7244fdf9ac3d30118c707c0.JPG,Endless Summer Hydrangea Hydrangea macrophylla 'endless summer'.json,"3-5 ft. tall, 3-5 ft. wide","Spring, summer","Pink, purple. blue, red, white","Toxic to people, toxic to dogs, cats, and horses"
"Polka dot plant, flamingo plant, freckle face, measles plant, pink dot",Hypoestes phyllostachya,Acanthaceae,"Herbaceous, perennial",,Partial,"Moist, well-drained",Slightly Acidic to Neutral (6.1 to 7.3),"10 to 11, USDA",Madagascar,https://www.thespruce.com/thmb/Hl_MHcA33ipDtlE4928-PDmN1PQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/pondpine-1981118aaf234c57957a58f3545af2af.jpg,Polka Dot Plant Hypoestes phyllostachya.json,"1-2 ft. tall, 1-2 ft. wide",Summer or early fall,Lilac or pink,Nontoxic
Pistachio tree,Pistacia vera,Anacardiaceae,"Tree, fruit",,Full,"Well-draining, sandy, loamy","Neutral, alkaline",7–11 (USDA),Central Asia,https://www.thespruce.com/thmb/TSSA1QUkIgHAJb3pKQ_tsb5maxI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-plantain-trees-508789801-871d6e058f7a4b24a6e71dd8fa292268.jpg,Pistachio Tree Pistaciavera.json,"25–30 ft. tall, 15-30 ft. wide",Spring,"Green, red",Toxic to horses
Dracaena; various species have different common names,Dracaena spp. (also Cordyline spp.),Asparagaceae,Shrub,,Partial,"Moist, well-drained",Acidic,10–12 (USDA),"Asia, Africa, Australia",https://www.thespruce.com/thmb/-CRBkPN5fYhwBwte6iBTJHieLGU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/dracaena-overview-care-1902754-7-d252ea76c5074e5fa5ebc2c3b1813ede.jpg,Dracaena Dracaena.json,"2-10 ft. tall, 1-2 ft. wide",,,Toxic to dogs and cats
"Rubber plant, rubber tree",Ficus elastica,,Evergreen tree,,Partial shade,Moist but well-drained,Acidic,10–12 (USDA),Asia,https://www.thespruce.com/thmb/56_XQYqaP-hB7a6BLZmEPbSCm3g=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/how-to-grow-rue-anemone-5077052-hero-ce9f38dc98fc46078b92f9f6604ba69f.jpg,Rubber Plant Ficus elastica.json,"50–100 ft. tall (outdoors), 50–100 ft. wide (outdoors)",Rarely blooms,Rarely blooms,Toxic to dogs and cats
"Speedwell, Bird’s Eye, Gypsyweed",Veronica,Plantaginaceae,"Perennial, Annual",,"Full, partial","Loamy, Sandy, Clay, Well-drained","Acidic, Neutral, Alkaline",3-9 (USDA),"Europe, Asia",https://www.thespruce.com/thmb/kmWIdw9YvtYB5Cd9kY3QIN5Cpns=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/kararileyviolas-12-cc7d3f6089fc4a3dbcf0f33cc2a86158.jpg,Veronica Veronica.json,"Less than 1/2 in. to 4 ft. tall, 8 in. to 2 ft. wide","Spring, Summer, Fall","Pink, Blue, Purple, White",
Tamarack,Larix laricina,Pinaceae,Deciduous Conifer,,Full sun,"Moist, organic-rich",Acidic,"2-5, USDA",Northern North America,https://www.thespruce.com/thmb/wARK0s74njlKBlyhfB_5uJNxdjQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/how-to-grow-tatsoi-greens-4125566-hero-c9c09bef689f42dabe9314a30e83fc28.jpg,Tamarack Larix laricina.json,"40 to 80 ft. tall, 15 to 30 ft. wide",Non-flowering,Non-flowering,
"Swiss chard, silverbeet, silver beet, leaf beet, seakale beet, spinach beet",Beta vulgaris var. cicla,,"Biennial, vegetable",,"Full, partial","Rich, moist, well-drained",Slightly acidic (6 to 6.4),"6–10 as biennial, 3–10 as annual (USDA)",Mediterranean,https://www.thespruce.com/thmb/0AblZTelLm4Ey68ON5KjHsdbOhE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-kimberly-queen-ferns-5101495-01-fce470b111d740a4b2f9cc86f04f8a13.JPG,Swiss Chard Beta vulgaris.json,"18–24 in. tall, 9–12 in. wide",Summer,Yellow,
Green ash,Fraxinus pennsylvanica,Oleaceae,Deciduous tree,,Full,Well-drained,Acidic to alkaline (5.0 to 8.0),3–9 (USDA),North America,https://www.thespruce.com/thmb/WXnQ9Cjf6CT9JH7JmIo398c4jC0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/green-giant-arborvitae-guide-5199047-hero-c7c22fc2863241eb88985ff4cde99780.jpg,Green Ash Fraxinus pennsylvanica.json,"50–70 ft. tall, 35–50 ft. wide",Late spring/early summer,Purple (non-showy),
"Common poppy, corn poppy, corn rose, field poppy, Flanders poppy, red poppy",Papaver rhoeas,Papaveraceae,Annual,,"Full, partial",Well-drained,Neutral to acidic,1-10 (USDA),"Europe, Asia, Africa",https://www.thespruce.com/thmb/Ao6dYRF9Zl51s-dp8T5KQPLVYXk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/red-tip-photinia-growing-profile-3269221-4-1dc9839e64754ce8a0852934ed9bd4da.jpg,Red Poppy Papaver rhoeas.json,28 in. tall,"Spring, summer","Red, yellow, orange, pink, blue, purple, white",Toxic to pets
"Smooth hydrangea, Wild hydrangea",Hydrangea arborescens,Hydrangeaceae,"Deciduous, Shrub",,Partial shade,Well-drained,"Acid, Neutral, Alkaline","3-9, USA",Eastern USA,https://www.thespruce.com/thmb/txseht4AYE7ae-tztUSP0MJQC3s=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/snake-plant-care-overview-1902772-04-d3990a1d0e1d4202a824e929abb12fc1-349b52d646f04f31962707a703b94298.jpeg,Smooth Hydrangea Hydrangea arborescens.json,3 -10 ft. tall,Summer,White,Toxic to people and pets
Black willow,Salix nigra,Salicaceae,Deciduous tree,,"Full sun, part shade","Moist, well-drained soil, wet soil",4.5 to 7.5,USDA 4a-9a,Eastern to Midwest North America,https://www.thespruce.com/thmb/mdXwkYZSp2BCQs101hOgypE07jI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/how-to-grow-and-care-for-black-willow-5210500-hero-daec3d77d1ae4b288495c8af0fe7aa17.jpg,Black Willow Salix nigra.json,"30-60 ft. tall, 40-60 ft. wide",Early spring,Gold,
Crown imperial,Fritillaria imperialis,Liliaceae,"Perennial, bulb",,"Full, partial","Sandy, well-drained","Acidic, neutral, alkaline",5-9 (USDA),Asia,https://www.thespruce.com/thmb/x-9Ezm9kDeQkcxVzjUpGAMGGdEU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/crown-imperial-plant-profile-5071304-hero-b1590cf3bd4f4f8cabeff006bc188825.jpg,Crown Imperial Fritillaria imperialis.json,"1-3 ft. tall, 8-12 in. wide",Spring,"Red, orange, yellow","Toxic to humans, toxic to pets"
"Big bluestem, turkey foot, tall bluestem, bluejoint",Andropogon gerardi,,Grass,,"Full sun, part shade","Sandy, loam, clay, well-draining",4.8-6.9,4-9 (USDA),North America,https://www.thespruce.com/thmb/JQ5CqrPLe7wjIcLwVj8exhcbn_o=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/bidens-plant-profile-5069525-17-fbef5e44ce92449486a417bf46e898bd.jpg,Big Bluestem Andropogon Gerardii.json,6-8 ft. tall,Summer,"Purple, yellow",
Common juniper,Juniperus communis,Cupressaceae,Shrub,,Full,Well-draining,"Acidic, neutral, alkaline",2-7 (USDA),"North America, Europe, Asia",https://www.thespruce.com/thmb/Qh_bC0xqXkLpYkNv70PWKVzupq0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/how-to-grow-and-care-for-common-juniper-5080172-hero-cb96f2c0921c4f74bcc1427131809e00.JPG,Common Juniper Juniperus communis.json,"6 in.–15 ft. tall, 1–12 ft. wide",,,
Centipede grass,Eremochloa ophiuroides,,Perennial grass,,Full sun,"Sandy, silt, loam",5 to 6,10-Jul,South and central China,https://www.thespruce.com/thmb/40nlCe1cbr1fILBvBUOoBpm1MoI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-centipede-grass-5092692-hero-e7105702a36e4e6b8bafd10aac41660a.jpg,Centipede Grass Eremochloa ophiuroides.json,Five inches height,Summer to fall,Inconspicuous,
"Dutchman's pipe vine, pipe vine",Aristolochia macrophylla,"Aristolochiaceae, Birthwort",Vine,,"Full, partial","Moist, well-drained","Neutral, acidic",4–8 (USDA),North America,https://www.thespruce.com/thmb/fzXGTdvmIGLyV0jUKfZ1MqBnY-0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/why-you-should-grow-dutchmans-pipe-vines-2132889-hero-457a40938b41478ba0e95ddfba4efbdd.JPG,Dutchman's Pipe Vine Aristolochia macrophylla.json,"15–30 ft. tall, 15–20 ft. wide",Summer,"Yellow, green, purple",Toxic to people
"Spider mum, Fuji mum, autumn mum, florist's chrysanthemum, garden hardy chrysanthemum, garden mum",Chrysanthemum x morifolium (or C. morifolium),Asteraceae,"Herbaceous, perennial, annual",,"Full, partial",Well-drained,Acidic,5–9 (USDA),Asia,https://www.thespruce.com/thmb/RdxoZSfI55lhpSTXVEHBddZxAK0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-spinach-1403448-13-8e9751e8c47043529effcb4d0786e4b1.jpg,Spider Mum Chrysanthemum morifolium.json,"1–3 ft. tall, 1–2 ft. wide","Summer, fall","Yellow, pink, red, white, purple, bronze, rust",
Glacier pothos,Epipremnum aureum 'Glacier',Araceae,"Perennial, vine",,Partial,Moist but well-draining,Acidic,"10-11, USA",Asia,https://www.thespruce.com/thmb/5fXo6UW42Z-oWx6xR2jNP0Vt-lI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/thespruce.com-globe-thistle-plant-profile-4767174-15-5baa0c6bda984a3ab0b1f48a1952f43d.jpg,Glacier Pothos Epipremnum aureum 'Glacier'.json,6 ft. long (indoors),"Spring, summer","Green, white",Toxic to pets
"Dalmatian bellflower, Adria bellflower, wall bellflower",Campanula portenschlagiana (formerly known as C. muralis),Campanulaceae,"Herbaceous, perennial",,Full sun to partial shade,Moist but well-drained soil,"Neutral, alkaline",4-8 (USDA),Mediterranean,https://www.thespruce.com/thmb/Gq-qshLcPWeWOgszzIZ_tCyTjp4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/how-campanula-relates-to-rampion-rapunzel-4125680-hero-50f111eef0214c3fb2b31260bdcced5b.jpg,Dalmatian Bellflower Campanula portenschlagiana.json,"3-6 in. tall, 6-12 in. wide",Spring,"Violet, blue",
"Sea holly, blue sea holly, star thistle",Eryngium planum,Apiaceae,"Herbaceous, perennial",,Full,"Sandy, well-drained","Acidic, neutral, alkaline",5–9 (USDA),"Europe, Asia",https://www.thespruce.com/thmb/eyCWewiYbgGYXQ6FbE7mgRIiqr4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/mimosa-pudica-plant-profile-5072410_03-775a86b004bc46879d07487646318ecd.jpg,Sea Holly Eryngium.json,"2–3 ft. tall, 1–2 ft. wide","Summer, fall","Blue, purple",
"Cucumber tree, cucumber magnolia",Magnolia acuminata,Magnoliaceae,Tree,,"Full, partial","Loamy, moist, well-drained","Acidic, neutral",4–8 (USDA),North America,https://www.thespruce.com/thmb/ov0cwjoPHEBGCZRk0f8XunvydGM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-cucumber-trees-5078440-hero-93baa0d670944aa2840086074e19c44b.JPG,Cucumber Tree Magnolia acuminata.json,"50–80 ft. tall, 35–60 ft. wide",Spring,Yellow,
"Lettuce, garden lettuce",Lactuca sativa,Asteraceae,"Annual, vegetable",6–12 in. tall and wide,"Full sun, partial sun","Loamy, rich, well-drained","Acidic, neutral (6 to 7)",2a–11b (USDA),Mediterranean,https://www.thespruce.com/thmb/tYtDn1wdEZJLtzfhgSRJkQdy3uc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/liatris-flowers-1316040_04-b6728e0f5ca5468bac2ecf90c1a6a04c.JPG,Lettuce Lactuca sativa.json,6–12 in. tall and wide,Seasonal,,
Fragrant sumac,Rhus aromatica,Anacardiaceae,Deciduous shrub,,Full to part sun,Adaptable,4.5 to 8.0,3-9 (USDA),Southern Canada to the Southern USA,https://www.thespruce.com/thmb/q-UcT8Tmw2Yde5kxNKAkvoflfUE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/franklinia-14d00f49d51c4f9ebbfabbde71e27c01.jpg,Fragrant Sumac Rhus aromatica.json,"3-5 ft. tall, creeping","March, April","Inconspicuous, yellow",
"Sweetbay (sweet bay) magnolia, swamp magnolia",Magnolia virginiana,Magnoliaceae,Tree,,"Full, partial","Moist, rich",Acidic (5.5 to 6.5),4–10 (USDA),North America (eastern U.S.),https://www.thespruce.com/thmb/HAIOK8-DIFxumOC3II1afmuQQMU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/switchgrass-plant-care-5079140-hero-b1b3b0794fb94bc6b89d4bd3a2f7a04c.JPG,Sweetbay Magnolia Magnolia virginiana.json,"10–35 ft. tall, 10–35 ft. wide","Late spring, early summer",White,
"Purple hyacinth bean, Indian bean, Tonga bean, LabLab, tobacco vine",Lablab purpureus,Fabaceae,"Annual, tender perennial",,Full,Loamy,"Neutral, acidic",10–11 (USDA),Africa,https://www.thespruce.com/thmb/mO3GccPy1GE6f1idrwuFpgUo_9Y=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/passiflora-incarnata-growing-guide-5219800-hero-3ffffaad5cf543ef842c454b5dd6e8a9.jpg,Purple Hyacinth Bean Lablab purpureus.json,"10–15 ft. tall, 3–6 ft. wide","Summer, fall","Red, purple, pink, white",Toxic to people and pets
